Categoría,Subcategoría 1,Subcategoría 2,Paquete
Ropa,Tops,,M
Ropa,Camisetas,,M
Ropa,Camisas,,M
Ropa,Sudaderas,,M
Ropa,Pantalones,,M
Ropa,Jeans,,M
Ropa,Faldas,,M
Ropa,Vestidos,,M
Ropa,Ropa deportiva,,M
Ropa,Shorts,,M
Ropa,Trajes / Sets,,M
Ropa,Jumpsuits,,M
Ropa,Chamarras,,L
Ropa,Abrigos,,L
Ropa,Sacos,,L
Ropa,Lencería / Pijama,,S
Ropa,De baño,,S
Bolsas,Bolsa chica,"Clutch, mini bag, cartera",S
Bolsas,Bolsa mediana,"Shoulder bag, crossbody",M
Bolsas,Bolsa grande,"Tote, mochila, weekender",L
Zapatos,Flats / Sandalias,Par sin caja grande,M
Zapatos,Tacones,Par en caja ≤35 cm,M
Zapatos,Tenis / Sneakers,Par en caja,L
Zapatos,Botines,Par en caja,L
Zapatos,Botas,"Par en caja, caña larga",L
Hogar,Textiles,"Cojines, mantas, cobijas",M
