field_name,label,value,parent
keywords,Búsqueda por palabra clave,<texto>,
price,"Precio (rango min,max)","min,max",
pub_all_sizes,0XL,curvy_0x,Tallas Curvy
pub_all_sizes,1XL,curvy_1x,Tallas Curvy
pub_all_sizes,2XL,curvy_2x,Tallas Curvy
pub_all_sizes,3XL,curvy_3x,Tallas Curvy
pub_all_sizes,4 / 14.8mm,rings_4,Anillos
pub_all_sizes,4XL,curvy_4x,Tallas Curvy
pub_all_sizes,5 / 15.7mm,rings_5,Anillos
pub_all_sizes,5XL,curvy_5x,Tallas Curvy
pub_all_sizes,6 / 16.5mm,rings_6,Anillos
pub_all_sizes,7 / 17.3mm,rings_7,Anillos
pub_all_sizes,8 / 18.1mm,rings_8,Anillos
pub_all_sizes,9 / 18.9mm,rings_9,Anillos
pub_all_sizes,10 / 19.8mm,rings_10,Anillos
pub_all_sizes,11 / 20.6mm,rings_11,Anillos
pub_all_sizes,12 / 21.4mm,rings_12,Anillos
pub_all_sizes,L,l,Ropa (Estándar)
pub_all_sizes,M,m,Ropa (Estándar)
pub_all_sizes,MX 22,mx_shoes_22x,Calzado (MX)
pub_all_sizes,MX 22.5,mx_shoes_22.5x,Calzado (MX)
pub_all_sizes,MX 23,mx_shoes_23x,Calzado (MX)
pub_all_sizes,MX 23.5,mx_shoes_23.5x,Calzado (MX)
pub_all_sizes,MX 24,mx_24,Ropa (MX)
pub_all_sizes,MX 24,mx_shoes_24x,Calzado (MX)
pub_all_sizes,MX 24.5,mx_shoes_24.5x,Calzado (MX)
pub_all_sizes,MX 25,mx_25,Ropa (MX)
pub_all_sizes,MX 25,mx_shoes_25x,Calzado (MX)
pub_all_sizes,MX 25.5,mx_shoes_25.5x,Calzado (MX)
pub_all_sizes,MX 26,mx_26,Ropa (MX)
pub_all_sizes,MX 26,mx_shoes_26x,Calzado (MX)
pub_all_sizes,MX 26.5,mx_shoes_26.5x,Calzado (MX)
pub_all_sizes,MX 27,mx_27,Ropa (MX)
pub_all_sizes,MX 27,mx_shoes_27x,Calzado (MX)
pub_all_sizes,MX 27.5,mx_shoes_27.5x,Calzado (MX)
pub_all_sizes,MX 28,mx_28,Ropa (MX)
pub_all_sizes,MX 28,mx_shoes_28x,Calzado (MX)
pub_all_sizes,MX 28.5,mx_shoes_28.5x,Calzado (MX)
pub_all_sizes,MX 29,mx_29,Ropa (MX)
pub_all_sizes,MX 29,mx_shoes_29x,Calzado (MX)
pub_all_sizes,MX 30,mx_30,Ropa (MX)
pub_all_sizes,MX 31,mx_31,Ropa (MX)
pub_all_sizes,MX 32,mx_32,Ropa (MX)
pub_all_sizes,MX 33,mx_33,Ropa (MX)
pub_all_sizes,MX 34,mx_34,Ropa (MX)
pub_all_sizes,S,s,Ropa (Estándar)
pub_all_sizes,Unitalla,unitalla,Ropa (Estándar)
pub_all_sizes,US 00,us_00,Ropa (US)
pub_all_sizes,US 0,us_0,Ropa (US)
pub_all_sizes,US 2,us_2,Ropa (US)
pub_all_sizes,US 4,us_4,Ropa (US)
pub_all_sizes,US 6,us_6,Ropa (US)
pub_all_sizes,US 8,us_8,Ropa (US)
pub_all_sizes,US 10,us_10,Ropa (US)
pub_all_sizes,US 12,us_12,Ropa (US)
pub_all_sizes,XL,xl,Ropa (Estándar)
pub_all_sizes,XS,xs,Ropa (Estándar)
pub_all_sizes,XXS,xxs,Ropa (Estándar)
pub_brand,& Other Stories,other-stories,
pub_brand,1.STATE,1-state,
pub_brand,1/8 Takamura,1-8-takamura,
pub_brand,7 For All Mankind,7-for-all-mankind,
pub_brand,525,525,
pub_brand,A Bathing Ape (BAPE),a-bathing-ape-bape,
pub_brand,A. Roege Hove,a-roege-hove,
pub_brand,A.L.C.,a-l-c,
pub_brand,A.P.C.,a-p-c,
pub_brand,Abercrombie & Fitch,abercrombie-fitch,
pub_brand,Acacia,acacia,
pub_brand,Acne Studios,acne-studios,
pub_brand,Adidas,adidas,
pub_brand,adidas by Stella McCartney,adidas-by-stella-mccartney,
pub_brand,Aeropostale,aeropostale,
pub_brand,AG Adriano Goldschmied,ag-adriano-goldschmied,
pub_brand,AGOLDE,agolde,
pub_brand,Agua Bendita,agua-bendita,
pub_brand,Aje,aje,
pub_brand,Alaïa,ala-a,
pub_brand,Alexander McQueen,alexander-mcqueen,
pub_brand,Alexander Wang,alexander-wang,
pub_brand,Alexandre Herchcovitch,alexandre-herchcovitch,
pub_brand,Alexandre Vauthier,alexandre-vauthier,
pub_brand,Alexia Ulibarri,alexia-ulibarri,
pub_brand,Alexis,alexis,
pub_brand,Alice + Olivia,alice-olivia,
pub_brand,All for Ramon,all-for-ramon,
pub_brand,AllSaints,allsaints,
pub_brand,Alo Yoga,alo-yoga,
pub_brand,Amanda Uprichard,amanda-uprichard,
pub_brand,Amaro,amaro,
pub_brand,AMBUSH,ambush,
pub_brand,American Eagle,american-eagle,
pub_brand,AMO,amo,
pub_brand,Amour Vert,amour-vert,
pub_brand,Andrea Landa,andrea-landa,
pub_brand,Angel Grave,angel-grave,
pub_brand,Angel Sanchez,angel-sanchez,
pub_brand,Animale,animale,
pub_brand,Animazul,animazul,
pub_brand,ANINE BING,anine-bing,
pub_brand,Ann Taylor,ann-taylor,
pub_brand,Anna October,anna-october,
pub_brand,Anntarah,anntarah,
pub_brand,Apiece Apart,apiece-apart,
pub_brand,AQUA BLU Australia,aqua-blu-australia,
pub_brand,AREA,area,
pub_brand,Arianne Elmy,arianne-elmy,
pub_brand,Aritzia,aritzia,
pub_brand,Arroz con leche,arroz-con-leche,
pub_brand,AS by DF,as-by-df,
pub_brand,ASH,ash,
pub_brand,Asics,asics,
pub_brand,ASTR the Label,astr-the-label,
pub_brand,Atoir,atoir,
pub_brand,Autumn Adeigbo,autumn-adeigbo,
pub_brand,Ay Not Dead,ay-not-dead,
pub_brand,Aya Muse,aya-muse,
pub_brand,Ayni,ayni,
pub_brand,B-Low the Belt,b-low-the-belt,
pub_brand,Balenciaga,balenciaga,
pub_brand,Banana Republic,banana-republic,
pub_brand,Baobab,baobab,
pub_brand,Basicos de México,basicos-de-m-xico,
pub_brand,Baum,baum,
pub_brand,Beach Bunny,beach-bunny,
pub_brand,BEIS,beis,
pub_brand,Bella Dahl,bella-dahl,
pub_brand,Benedetta Bruzziches,benedetta-bruzziches,
pub_brand,Benito Santos,benito-santos,
pub_brand,Benjamin Benmoyal,benjamin-benmoyal,
pub_brand,Bershka,bershka,
pub_brand,Beyond Yoga,beyond-yoga,
pub_brand,Bishop + Young,bishop-young,
pub_brand,Black by Maria Silver,black-by-maria-silver,
pub_brand,BLANKNYC,blanknyc,
pub_brand,Blue Man,blue-man,
pub_brand,Bolazo,bolazo,
pub_brand,Boohoo,boohoo,
pub_brand,Borgo De Nor,borgo-de-nor,
pub_brand,Bottega Veneta,bottega-veneta,
pub_brand,Boys Lie,boys-lie,
pub_brand,Brandon Maxwell,brandon-maxwell,
pub_brand,Brandy Melville,brandy-melville,
pub_brand,Brixton,brixton,
pub_brand,Brochu Walker,brochu-walker,
pub_brand,Bronx and Banco,bronx-and-banco,
pub_brand,Burberry,burberry,
pub_brand,By Far,by-far,
pub_brand,By Malene Birger,by-malene-birger,
pub_brand,C/MEO,c-meo,
pub_brand,Cala de la Cruz,cala-de-la-cruz,
pub_brand,Callahan,callahan,
pub_brand,Calvin Klein,calvin-klein,
pub_brand,Camila Coelho,camila-coelho,
pub_brand,Camilla,camilla,
pub_brand,CAMILLA AND MARC,camilla-and-marc,
pub_brand,Cara Cara,cara-cara,
pub_brand,Carla Fernández,carla-fern-ndez,
pub_brand,Carmen Llaguno,carmen-llaguno,
pub_brand,Carolina Herrera,carolina-herrera,
pub_brand,Casa Chiqui,casa-chiqui,
pub_brand,Cecilie Bahnsen,cecilie-bahnsen,
pub_brand,Celine,celine,
pub_brand,Champion,champion,
pub_brand,Chanel,chanel,
pub_brand,Chico's,chico-s,
pub_brand,Christy Dawn,christy-dawn,
pub_brand,Cider,cider,
pub_brand,Cihuah,cihuah,
pub_brand,Cinq à Sept,cinq-sept,
pub_brand,Citizens of Humanity,citizens-of-humanity,
pub_brand,Cleobella,cleobella,
pub_brand,Clio Peppiatt,clio-peppiatt,
pub_brand,Club L London,club-l-london,
pub_brand,Coach,coach,
pub_brand,Collectiva Concepción,collectiva-concepci-n,
pub_brand,Columbia,columbia,
pub_brand,Commando,commando,
pub_brand,Comme des Garçons,comme-des-gar-ons,
pub_brand,Converse,converse,
pub_brand,Cora Groppo,cora-groppo,
pub_brand,COS,cos,
pub_brand,Costaiia,costaiia,
pub_brand,COTTON CITIZEN,cotton-citizen,
pub_brand,Cotton On,cotton-on,
pub_brand,Cotton Project,cotton-project,
pub_brand,Cult Gaia,cult-gaia,
pub_brand,Current/Elliott,current-elliott,
pub_brand,Cushnie,cushnie,
pub_brand,Daisy Street,daisy-street,
pub_brand,David Koma,david-koma,
pub_brand,DAYDREAMER,daydreamer,
pub_brand,De Loreta,de-loreta,
pub_brand,Deiji Studios,deiji-studios,
pub_brand,DELFI Collective,delfi-collective,
pub_brand,Dennis Basso,dennis-basso,
pub_brand,Derek Lam 10 Crosby,derek-lam-10-crosby,
pub_brand,Diane von Fürstenberg,diane-von-f-rstenberg,
pub_brand,Diaz Garza,diaz-garza,
pub_brand,Dion Lee,dion-lee,
pub_brand,Dior,dior,
pub_brand,DKNY,dkny,
pub_brand,DL1961,dl1961,
pub_brand,Donni,donni,
pub_brand,Dr. Barbara Sturm,dr-barbara-sturm,
pub_brand,DRA,dra,
pub_brand,DROMe,drome,
pub_brand,Dsquared2,dsquared2,
pub_brand,Dundas,dundas,
pub_brand,Dune London,dune-london,
pub_brand,DUVETICA,duvetica,
pub_brand,Eberjey,eberjey,
pub_brand,Effie Kats,effie-kats,
pub_brand,EIKO AI,eiko-ai,
pub_brand,Eileen Fisher,eileen-fisher,
pub_brand,Eleven Six,eleven-six,
pub_brand,Elie Saab,elie-saab,
